epoch,acc,loss,val_acc,val_loss
0,0.8647144436836243,0.41875261068344116,0.3954237699508667,2.0004630088806152
0,0.860519528388977,0.44136980175971985,0.8127618432044983,0.5925633907318115
1,0.9616005420684814,0.11532101035118103,0.3554624617099762,2.275308847427368
2,0.9800742268562317,0.062108807265758514,0.5304543972015381,1.7753007411956787
3,0.9869312644004822,0.04121977090835571,0.11956171691417694,4.259908676147461
4,0.9900774359703064,0.03274872526526451,0.17757008969783783,4.733649730682373
5,0.9880606532096863,0.03828326240181923,0.23590074479579926,4.191343307495117
0,0.8014699220657349,0.660071611404419,0.45601290464401245,1.8012975454330444
1,0.9405754208564758,0.1955733746290207,0.0,6.085793495178223
2,0.9792059063911438,0.06306660920381546,0.42050039768218994,2.0683679580688477
3,0.9944429397583008,0.020101439207792282,0.994350254535675,0.02754233591258526
4,0.9963251948356628,0.013664033263921738,0.8861985206604004,0.38998091220855713
5,0.9983866810798645,0.009736995212733746,0.9959644675254822,0.0187236275523901
6,0.9982970356941223,0.007205790374428034,0.9822437167167664,0.06867844611406326
7,0.9984762668609619,0.006928509101271629,0.9959644675254822,0.015191103331744671
8,0.9982073903083801,0.006561413407325745,0.9967715740203857,0.017437361180782318
